"","Method","Coefficient","Zero_Count","Near_Zero_Count","Average_Value","SD_Value"
"1","ElasticNet","X0",0,0,-7.68779024482463,0.00279490380183981
"2","ElasticNet","X10",0,0,0.349632588052948,0.0319125139071986
"3","ElasticNet","X11",0,0,3.91171616782105,0.0182085155497543
"4","ElasticNet","X2",0,0,2.34932453951484,0.0265824500318914
"5","ElasticNet","X3",0,0,2.04882391361387,0.0248385698231629
"6","ElasticNet","X4",0,0,2.63788256781276,0.023613011112906
"7","ElasticNet","X5",0,0,6.91032231254274,0.0164493108571114
"8","ElasticNet","X6",0,0,2.77484193135696,0.0294158218371783
"9","ElasticNet","X7",0,0,-9.65324523520658,0.0161860784683746
"10","ElasticNet","X8",0,0,-5.37729748535226,0.0228995060047285
"11","ElasticNet","X9",0,0,3.07830093437942,0.0315048187475205
"12","Lasso","X0",0,0,-7.67526457985744,0.00117672383350342
"13","Lasso","X10",0,0,0.179282405795596,0.0181146209191891
"14","Lasso","X11",0,0,3.79708303654835,0.0133182129177111
"15","Lasso","X2",0,0,2.18846840864062,0.0183317017342755
"16","Lasso","X3",0,0,1.89132774653899,0.0183539568143783
"17","Lasso","X4",0,0,2.48800239099086,0.0174751100478509
"18","Lasso","X5",0,0,6.77743612430383,0.0170424556051082
"19","Lasso","X6",0,0,2.5891453743478,0.021593838265682
"20","Lasso","X7",0,0,-9.49528989017743,0.0214132864903347
"21","Lasso","X8",0,0,-5.20962755793417,0.0207603225050153
"22","Lasso","X9",0,0,2.88394982579163,0.0223542349623672
"23","Ridge","X0",0,0,-7.70281379996726,0.00158681343097862
"24","Ridge","X10",0,0,0.389224074049232,0.000402493627465681
"25","Ridge","X11",0,0,3.85296482706612,0.0104194501014027
"26","Ridge","X2",0,0,2.29667016074062,0.0105912908595544
"27","Ridge","X3",0,0,1.96882575847804,0.0136452589505397
"28","Ridge","X4",0,0,2.56037960686037,0.0132461302325108
"29","Ridge","X5",0,0,6.72509246250494,0.0262247069190071
"30","Ridge","X6",0,0,2.68320904993951,0.0158279070278404
"31","Ridge","X7",0,0,-9.34919380093803,0.0412447879303078
"32","Ridge","X8",0,0,-5.20093481348778,0.0257861110532285
"33","Ridge","X9",0,0,2.99927241338857,0.0146595524066546
